Quel est le titre de l'atelier de préparation à l'examen présenté dans le document ?,Professional Machine Learning Engineer: Exam Readiness Workshop.
"Selon l'avertissement de confidentialité, est-il permis d'enregistrer ou de prendre des captures d'écran de la présentation ?","Non, il est interdit d'enregistrer ou de prendre des captures d'écran de la présentation."
Quelle est la durée de l'examen de certification Professional Machine Learning Engineer ?,2 heures.
Quel est le format des questions de l'examen Professional Machine Learning Engineer ?,Questions à choix multiple et à sélection multiple.
Combien d'années d'expérience dans l'industrie sont recommandées pour passer l'examen Professional Machine Learning Engineer ?,3+ années d'expérience dans l'industrie.
Quelle est l'expérience recommandée spécifiquement dans la conception et la gestion de solutions utilisant Google Cloud ?,1+ an d'expérience.
À qui faut-il s'adresser pour des problèmes d'accès à Cloud Skills Boost for Partners ?,partner-training@google.com.
"Qui faut-il contacter en cas de problème avec un laboratoire pratique (lab), comme un compte verrouillé ?",support@qwiklabs.com.
Où peut-on obtenir de l'aide pour des problèmes d'accès à Partner Advantage ?,"Sur la page de support de Google Cloud, sous le sujet 9198654."
Quelle entreprise externe gère les examens de certification officiels de Google Cloud ?,Kryterion Webassessor.
"Pour planifier et lancer des examens, vous devez accéder à Webassessor via votre compte _____.",CertMetrics (CM).
"Si vous n'avez jamais utilisé CertMetrics (CM) mais que vous aviez un compte Webassessor, quelle option de connexion devez-vous utiliser ?","Utiliser l'option ""Never Logged in Before"" avec l'adresse e-mail utilisée dans Webassessor."
"En cas de doute sur l'e-mail professionnel à utiliser lors de l'inscription, que recommande la présentation ?",Vérifier auprès de votre organisation pour savoir quel est le bon e-mail à utiliser.
"Une fois connecté sur la plateforme Webassessor, sur quel bouton principal faut-il cliquer pour commencer le processus d'inscription ?",REGISTER FOR AN EXAM.
"Les examens peuvent être passés dans un centre de test autorisé, une option appelée _____.",Onsite Proctored (surveillé sur site).
"Les examens peuvent être passés depuis votre domicile ou votre bureau, une option appelée _____.",Remote Proctored (surveillé à distance).
Comment les bons de réduction (vouchers) pour l'examen sont-ils appliqués lors du processus d'inscription ?,"Ils sont appliqués au moment du paiement en tant que ""promotion""."
Quelle est la recommandation numéro 1 pour s'inscrire à un examen surveillé sur site ?,S'inscrire le plus longtemps possible à l'avance.
Quelle est la règle la plus importante concernant la correspondance entre vos informations d'inscription et votre pièce d'identité ?,Les détails de l'inscription doivent correspondre exactement à votre pièce d'identité officielle.
"Pour un examen à distance, quels droits devez-vous confirmer avoir sur votre ordinateur avant le jour de l'examen ?",Des droits d'administrateur suffisants pour télécharger tous les logiciels requis.
Quel type de connexion Internet est nécessaire pour un examen surveillé à distance ?,Une connexion Internet fiable et stable.
"Pendant un examen à distance, est-il permis de lire les questions à voix haute ?","Non, il est interdit de lire la question à voix haute, ou même de chuchoter fort."
Que faut-il éviter de faire avec son regard pendant un examen surveillé à distance ?,Détourner le regard de l'écran trop souvent ou trop longtemps.
Que devez-vous faire immédiatement si vous rencontrez un problème technique pendant un examen à distance ?,"Faire des captures d'écran comme preuve et contacter immédiatement le support de Webassessor, de préférence via le chat en direct."
Que se passe-t-il généralement si votre connexion réseau est interrompue pendant une longue période lors d'un examen à distance ?,L'examen peut être annulé et il vous sera demandé de choisir une autre date pour le repasser.
L'examen Professional Machine Learning Engineer évalue votre capacité à cadrer les problèmes de _____.,ML (Machine Learning).
Citez l'une des six compétences évaluées par l'examen Professional Machine Learning Engineer.,Concevoir des solutions de ML (Architect ML solutions).
Concevoir des systèmes de préparation et de traitement des données est une compétence évaluée pour quel examen de certification ?,L'examen Professional Machine Learning Engineer.
Citez une compétence liée au développement et à l'automatisation évaluée par l'examen PMLE.,Développer des modèles de ML ou automatiser et orchestrer les pipelines de ML.
Quel domaine de compétence de l'examen PMLE concerne les opérations post-déploiement ?,"Surveiller, optimiser et maintenir les solutions de ML."
À quelle ressource de formation les partenaires Google Cloud ont-ils un accès gratuit ?,Google Cloud Skills Boost for Partners.
Quel parcours d'apprentissage est spécifiquement conçu pour préparer les partenaires à l'examen Professional Machine Learning Engineer ?,"Le ""Professional Machine Learning Path""."
"Pour télécharger un guide de l'étudiant en PDF sur Cloud Skills Boost, après avoir sélectionné l'onglet ""Lecture Notes"", que faut-il faire ?","Sélectionner un ""Student Guide Book"" et cliquer sur l'icône de téléchargement."
Quelle est la stratégie recommandée pour la gestion du temps pendant l'examen ?,"Répondre à toutes les questions, puis revenir aux questions marquées si le temps le permet."
"Pour un examen sur site, combien de formes d'identification devez-vous apporter ?",Deux formes d'identification avec nom et photo.
